table_name,field_name,field_type,description,mapped_from_table,mapped_from_field,mapping_type,release_date,relationship_category,cardinality
contentUsageHistory,workspaceContentId,uniqueidentifier,The id of the workspace content that was delivered,workspaceContents,id,,prod,informational,Nto1
contentUsageHistory,workspaceContentVersionId,uniqueidentifier,The version id of the workspace content that was delivered,workspaceContentVersions,id,,prod,informational,Nto1
contentUsageHistory,livesendLinkId,uniqueidentifier,The id of the livesend link that this document was included in,livesendLinks,id,,prod,informational,Nto1
contentUsageHistory,livesendLinkContentId,uniqueidentifier,This is guaranteed unique in this table and can be treated as a primary key to join to and table that can be joined to livesendLinkContents,livesendLinkContents,id,,prod,primary,Nto1
contentUsageHistory,generatedLivedocId,uniqueidentifier,The id of the generated livedoc that was delivered,generatedLivedocs,id,,staging,informational,Nto1
contentUsageHistory,referrerEventId,uniqueidentifier,The referrer event that led to this content usage event,referrerEvents,id,,roadmap,primary,Nto1
contentUsageHistory,contentProfileId,uniqueidentifier,The id of the content profile this document was delivered from,contentProfiles,id,,prod,primary,Nto1
contentUsageHistory,productArea,,The product area that the user was in when they performed the delivery,,,,roadmap,,
contentUsageHistory,application,,The application the user was using when they performed the delivery,,,,roadmap,,
contentUsageHistory,contextId,nvarchar(255),The unique identifier of the external context that the delivery took place from.  Typically this is the CRM record id such as 0066A000002701I or 80a60f9c-9d65-4e4b-b9e7-c4fc3431ffba depending on your CRM.,,,,roadmap,,
contentUsageHistory,contextType,nvarchar(255),"This is the type of context, which is typically the record type in the CRM such as Opportunity, Contact, Account, etc… But can also be the contextType for custom applications with a different concept of context.",,,,roadmap,,
contentUsageHistory,contextName,nvarchar(255),"This is the name of the contextual record, which is typically the name of the specific Opportunity, Contact, Account, etc… But can also be the name for a record in a custom application.",,,,roadmap,,
contents,id,uniqueidentifier,"The id of the content which can globally identify content from library, workspace, or a generated livedoc",,,,staging,,
contents,instanceName,,The name of the document as given by the user or generated as part of the Livedoc generation,,,,staging,,
contents,normalizedName,,The normalized source content name.  This will be the library content name for all content that comes from the library and the workspace name for content directly uploaded to Workspace.,,,,roadmap,,
contents,libraryContentId,uniqueidentifier,The id of the library content.  This id is also present on all generated livedocs as well as any workspace content that originated from the library,libraryContents,id,,staging,informational,1to1
contents,latestLibraryContentVersionId,uniqueidentifier,The id of the latest version of the library content,,,,staging,,
contents,latestLibraryContentVersionCreatedAt,datetime,The datetime that the latest version of the library content was created,,,,staging,,
contents,workspaceContentId,uniqueidentifier,The id of the workspace content,workspaceContents,id,,staging,informational,1to1
contents,latestworkspaceContentVersionId,uniqueidentifier,The id of the latest version of the workspace content,,,,staging,,
contents,latestWorkspaceContentVersionCreatedAt,datetime,The datetime that the latest version of the workspace content was created,,,,staging,,
contents,publishedVersionId,uniqueidentifier,The libraryContentVersionId of the highest published version of the document,,,,tbd,,
contents,publishedVersionCreatedAt,datetime,The datetime that the highest published version was created,,,,tbd,,
contents,publishedVersionExpiresAt,datetime,The expiration date for the highest published version,,,,staging,,
contents,generatedLivedocId,uniqueidentifier,The id of the generated livedoc that is represented in this table,generatedLivedocs,id,,staging,informational,1to1
contents,createdAt,datetime,"The datetime that the first version of this document was created relative to the document location (i.e. the createdAt for workspace content is when it was saved to workspace, not the date of the library content's creation)",,,,staging,,
contents,createdBy,uniqueidentifier,The id of the user who created the content,,,,staging,,
contents,modifiedAt,datetime,The datetime that this document or its metadata was modified in any way,,,,staging,,
contents,deletedAt,datetime,The datetime that this document was deleted,,,,staging,,
contents,teamsiteId,uniqueidentifier,The teamsite id of content.  This will exist for all content that has a libraryContentId.,teamsites,id,,staging,primary,Nto1
contents,teamsiteName,,The teamsite name of content.  This will exist for all content that has a libraryContentId.,,,,roadmap,,
contents,version,,The library content version or workspace content version of the latest version of the content,,,,staging,,
contents,isDeleted,boolean,A boolean indicating whether the content has been deleted,,,,staging,,
contents,isPublished,boolean,A boolean indicating whether the content is currently published,,,,staging,,
contents,format,,The format of the content,,,,staging,,
contents,ownerId,uniqueidentifier,The id of the owner of the file in the library.  This is only present for content with a library content id (including generated livedocs and content in workspace).,users,id,,staging,primary,Nto1
contents,ownerUsername,,The username of the owner of the file in the library.  This is only present for content with a library content id (including generated livedocs and content in workspace).,,,,roadmap,,
contents,totalPages,integer,The total number of pages of the latest version of the document,,,,tbd,,
contents,libraryUrl,,The url of the content in the Content Manager library,,,,staging,,
contents,workspaceUrl,,The url of the content in Workspace (what url do we want here?  Probably the share url?  Presumably we want to make sure this URL respects permissions?),,,,roadmap,,
contents,docCenterUrl,,The universal url of the content in DocCenter,,,,staging,,
contents,newsCenterUrl,,The universal url of the content in NewsCenter,,,,staging,,
contents,originContentProfileId,uniqueidentifier,The content profile id that the content originated from (this is present for all workspace content that has a libraryContentId),contentProfiles,id,,tbd,informational,Nto1
contents,properties,json,This is an object that contains all of the content properties for this document,,,,staging,,
contents,isContextualFolderContent,boolean,A boolean indicating if this content is in a contextual workspace folder,,,,staging,,
contents,isFolder,boolean,A boolean indicating if this content is a folder,,,,staging,,
contents,isCartContent,boolean,A boolean indicating if this is content in a user's document cart (which is a specialzed hidden workspace folder),,,,staging,,
contents,materializedPath,,The GUID path to this document in workspace,,,,roadmap,,
contents,thumbnailImageId,uniqueidentifier,An id to the lower resolution thumbnail image representing the latest version of this content,,,,roadmap,,
contents,previewImageId,uniqueidentifier,An id to the higher resolution preview image representing the latest version of this content,,,,roadmap,,
referrerEvents,id,uniqueidentifier,"An id which represents a particular referrer event.  This id is used as a general alias to represent one of the downstream events such as a searchClick in order to act as a proxy between a table like contentUsageHistory and the referring event.  Will be one of these: searchClickId, landingPageClickId, homepageClickId, articleLinkClickId, pushNotificationClickId, doccenterNavigateClickId, workspaceNavigateClickId, articleContentClickId",,,,tbd,,
referrerEvents,type,,"The type of referrer such as a searchClick, landingPageClick, pushNotificationClick, externalLink, etc…",,,,tbd,,
referrerEvents,category,,,,,,tbd,,
referrerEvents,productArea,,The product area that the referrer event took place in,,,,tbd,,
referrerEvents,application,,The application that the referrer event took place in,,,,tbd,,
referrerEvents,occurredAt,,The datetime when the referrer event occurred,,,,tbd,,
livesendContentDownloads,id,uniqueidentifier,The primary id for items in this table,,,,roadmap,,
livesendContentDownloads,livesendLinkContentId,uniqueidentifier,The id of the livesend link content that the page view occurred on,livesendLinkContents,id,,roadmap,primary,Nto1
livesendContentDownloads,livesendViewingSessionId,uniqueidentifier,The id of the livesend viewing session that this page view is a part of,livesendViewingSession,id,,roadmap,primary,Nto1
livesendContentDownloads,occurredAt,datetime,The datetime that the page view occurred,,,,roadmap,,
livesendContentDownloads,systemCreatedAt,datetime,datetime row was created,,,,roadmap,,
livesendContentDownloads,systemModifiedAt,datetime,datetime row was modified,,,,roadmap,,
